county_fips,week,county,state,new_cases_week,cumulative_cases
00001,2025-08-24,North,AL,1,1
00006,2025-06-15,Unknown County,CA,1,1
00006,2025-10-12,Unknown County,CA,1,2
00006,2025-12-07,Unknown County,CA,1,3
00006,2026-01-04,Unknown County,CA,1,4
00006,2026-02-22,Unknown County,CA,1,5
00013,2026-01-11,Coastal Health District,GA,1,1
00016,2025-09-28,Unknown County,ID,2,2
00017,2025-10-19,Unknown County,IL,2,2
00017,2026-02-15,Unknown County,IL,2,4
00019,2025-05-18,Central,IA,1,1
00019,2025-06-08,Eastern,IA,5,6
00019,2025-07-13,Eastern,IA,1,7
00019,2025-07-20,Western,IA,1,8
00019,2025-12-14,Central,IA,1,9
00020,2025-03-30,Unknown County,KS,10,10
00020,2025-04-06,Unknown County,KS,2,12
00020,2025-04-13,Unknown County,KS,3,15
00020,2025-06-15,Unknown County,KS,2,17
00020,2025-11-02,Unknown County,KS,3,20
00021,2025-06-29,Unknown County,KY,1,1
00025,2026-02-22,Unknown County,MA,1,1
00027,2025-06-08,Unknown County,MN,1,1
00027,2025-09-21,Unknown County,MN,3,4
00027,2025-09-28,Twin Cities Metro Area,MN,10,14
00027,2025-10-05,Unknown County,MN,2,16
00027,2025-10-26,Unknown County,MN,2,18
00027,2025-11-09,Unknown County,MN,1,19
00027,2025-11-30,Unknown County,MN,2,21
00027,2026-01-18,Unknown County,MN,1,22
00027,2026-02-08,Unknown County,MN,1,23
00027,2026-02-15,Unknown County,MN,3,26
00027,2026-02-22,Unknown County,MN,5,31
00027,2026-03-01,Unknown County,MN,2,33
00027,2026-03-08,Unknown County,MN,2,35
00031,2025-12-28,Unknown County,NE,1,1
00031,2026-01-04,Unknown County,NE,2,3
00034,2025-08-24,Unknown County,NJ,2,2
00034,2025-10-26,Unknown County,NJ,1,3
00041,2026-01-25,Unknown County,OR,2,2
00042,2025-08-17,Unknown County,PA,1,1
00048,2025-10-26,Unknown County,TX,1,1
02020,2025-01-12,Anchorage,AK,1,1
02020,2025-05-18,Anchorage,AK,1,2
02020,2025-10-12,Anchorage,AK,1,3
02122,2025-01-19,Kenai Peninsula,AK,1,1
04005,2025-12-28,Coconino,AZ,1,1
04013,2026-01-18,Maricopa,AZ,1,1
04013,2026-02-01,Maricopa,AZ,2,3
04013,2026-02-15,Maricopa,AZ,1,4
04015,2025-08-10,Mohave,AZ,1,1
04015,2025-08-17,Mohave,AZ,8,9
04015,2025-08-24,Mohave,AZ,3,12
04015,2025-08-31,Mohave,AZ,12,24
04015,2025-09-07,Mohave,AZ,6,30
04015,2025-09-14,Mohave,AZ,12,42
04015,2025-09-21,Mohave,AZ,6,48
04015,2025-09-28,Mohave,AZ,7,55
04015,2025-10-05,Mohave,AZ,4,59
04015,2025-10-12,Mohave,AZ,14,73
04015,2025-10-19,Mohave,AZ,7,80
04015,2025-10-26,Mohave,AZ,13,93
04015,2025-11-02,Mohave,AZ,14,107
04015,2025-11-09,Mohave,AZ,17,124
04015,2025-11-16,Mohave,AZ,9,133
04015,2025-11-23,Mohave,AZ,16,149
