location_name,location_id,location_type,date,outcome_type,value
"Adams, Colorado",8001,county,2025-08-13,case_lab-confirmed,1
"Adams, Colorado",8001,county,2025-08-15,case_lab-confirmed,2
"Adams, Colorado",8001,county,2025-08-28,case_lab-confirmed,1
"Adams, Colorado",8001,county,2026-03-06,case_lab-confirmed,5
"Alachua, Florida",12001,county,2026-01-25,case_lab-confirmed,1
"Alachua, Florida",12001,county,2026-02-07,case_lab-confirmed,1
"Allegan, Michigan",26005,county,2025-06-06,case_lab-confirmed,1
"Allen, Indiana",18003,county,2025-04-07,case_lab-confirmed,1
"Allen, Indiana",18003,county,2025-04-09,case_lab-confirmed,5
"Allen, Indiana",18003,county,2025-04-23,case_lab-confirmed,2
"Allen, Ohio",39003,county,2025-03-14,case_lab-confirmed,1
"Anchorage, Alaska",2020,county,2025-01-16,case_lab-confirmed,1
"Anchorage, Alaska",2020,county,2025-05-22,case_lab-confirmed,1
"Anchorage, Alaska",2020,county,2025-10-16,case_lab-confirmed,1
"Andrews, Texas",48003,county,2025-03-20,case_lab-confirmed,1
"Andrews, Texas",48003,county,2025-04-15,case_lab-confirmed,1
"Andrews, Texas",48003,county,2025-04-25,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2025-05-13,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2025-05-28,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2025-05-30,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2025-06-02,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2025-06-09,case_lab-confirmed,1
"Arapahoe, Colorado",8005,county,2026-02-09,case_lab-confirmed,1
"Archuleta, Colorado",8007,county,2025-04-09,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-02-24,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-02-25,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-03-07,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-03-08,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-03-09,case_lab-confirmed,6
"Ashtabula, Ohio",39007,county,2025-04-01,case_lab-confirmed,1
"Ashtabula, Ohio",39007,county,2025-04-11,case_lab-confirmed,3
"Ashtabula, Ohio",39007,county,2025-04-12,case_lab-confirmed,2
"Atascosa, Texas",48013,county,2025-04-25,case_lab-confirmed,1
"Bailey, Texas",48017,county,2025-04-23,case_lab-confirmed,2
"Bandera, Texas",48019,county,2026-03-11,case_lab-confirmed,5
"Bear River, Utah",0,county,2025-09-22,case_lab-confirmed,1
"Bear River, Utah",0,county,2025-09-25,case_lab-confirmed,3
"Bear River, Utah",0,county,2026-02-24,case_lab-confirmed,1
"Bear River, Utah",0,county,2026-03-03,case_lab-confirmed,2
"Bear River, Utah",0,county,2026-03-10,case_lab-confirmed,3
"Bell, Texas",48027,county,2025-06-17,case_lab-confirmed,1
"Benton, Arkansas",5007,county,2025-06-16,case_lab-confirmed,1
"Bergen, New Jersey",34003,county,2025-02-14,case_lab-confirmed,1
"Bergen, New Jersey",34003,county,2025-02-17,case_lab-confirmed,2
"Bergen, New Jersey",34003,county,2025-09-03,case_lab-confirmed,1
"Bexar, Texas",48029,county,2025-07-01,case_lab-confirmed,1
"Bexar, Texas",48029,county,2025-08-12,case_lab-confirmed,1
"Bonner, Idaho",16017,county,2025-08-20,case_lab-confirmed,1
"Bonneville, Idaho",16019,county,2025-08-07,case_lab-confirmed,2
"Bonneville, Idaho",16019,county,2025-09-13,case_lab-confirmed,3
"Borden, Texas",48033,county,2025-04-08,case_lab-confirmed,1
"Boulder, Colorado",8013,county,2025-06-13,case_lab-confirmed,1
"Boundary, Idaho",16021,county,2025-10-20,case_lab-confirmed,1
"Boundary, Idaho",16021,county,2025-10-22,case_lab-confirmed,1
"Boundary, Idaho",16021,county,2025-11-01,case_lab-confirmed,1
"Boundary, Idaho",16021,county,2025-11-02,case_lab-confirmed,1
"Boundary, Idaho",16021,county,2025-11-07,case_lab-confirmed,2
"Brazoria, Texas",48039,county,2025-04-18,case_lab-confirmed,1
"Brewster, Texas",48043,county,2025-05-23,case_lab-confirmed,1
"Brookings, South Dakota",46011,county,2026-02-21,case_lab-confirmed,1
"Broomfield, Colorado",8014,county,2026-03-06,case_lab-confirmed,1
"Broomfield, Colorado",8014,county,2026-03-12,case_lab-confirmed,2
"Broward, Florida",12011,county,2025-04-22,case_lab-confirmed,1
"Broward, Florida",12011,county,2025-08-16,case_lab-confirmed,1
"Broward, Florida",12011,county,2026-01-25,case_lab-confirmed,1
"Broward, Florida",12011,county,2026-02-21,case_lab-confirmed,1
"Brown, Texas",48049,county,2025-04-04,case_lab-confirmed,1
"Bryan, Georgia",13029,county,2026-02-22,case_lab-confirmed,1
"Bucks, Pennsylvania",42017,county,2025-03-27,case_lab-confirmed,1
"Buncombe, North Carolina",37021,county,2026-01-06,case_lab-confirmed,3
"Buncombe, North Carolina",37021,county,2026-01-15,case_lab-confirmed,2
"Buncombe, North Carolina",37021,county,2026-01-23,case_lab-confirmed,1
"Buncombe, North Carolina",37021,county,2026-02-12,case_lab-confirmed,1
"Burke, North Carolina",37023,county,2026-03-06,case_lab-confirmed,1
"Burke, North Dakota",38013,county,2025-05-27,case_lab-confirmed,1
"Butte, South Dakota",46019,county,2025-11-29,case_lab-confirmed,1
"Butte, South Dakota",46019,county,2025-12-17,case_lab-confirmed,2
"Butte, South Dakota",46019,county,2025-12-24,case_lab-confirmed,1
"Cabarrus, North Carolina",37025,county,2026-01-23,case_lab-confirmed,2
"Canyon, Idaho",16027,county,2026-01-09,case_lab-confirmed,1
"Canyon, Idaho",16027,county,2026-01-17,case_lab-confirmed,1
"Canyon, Idaho",16027,county,2026-01-19,case_lab-confirmed,1
"Canyon, Idaho",16027,county,2026-01-20,case_lab-confirmed,1
"Canyon, Idaho",16027,county,2026-01-21,case_lab-confirmed,1
"Canyon, Idaho",16027,county,2026-02-24,case_lab-confirmed,1
"Carbon, Wyoming",56007,county,2025-07-22,case_lab-confirmed,1
"Carbon, Wyoming",56007,county,2025-08-02,case_lab-confirmed,4
"Carbon, Wyoming",56007,county,2025-08-15,case_lab-confirmed,1
"Carbon, Wyoming",56007,county,2025-08-26,case_lab-confirmed,1
"Carson, Texas",48065,county,2025-05-13,case_lab-confirmed,1
"Cascade, Montana",30013,county,2025-07-16,case_lab-confirmed,1
"Cass, North Dakota",38017,county,2025-05-01,case_lab-confirmed,1
